RC-5 Data Logger,,
User Information,RC-5 Data Logger,
Number,E189G04160,
Interval    ,0:15:0 H:M:S,
Delay Time,0.0 H,
Data Sum,29967,
Temperature Maximum,51.8°C,
Temperature Minimum,1.4°C,
Temperature Average,23.1°C,
Temperature Alarm Upper Limit,60.0°C,
Temperature Alarm Lower Limit,-30.0°C,
Start Time,2019-05-09 12:33:55,
End Time,2020-03-16 16:03:55,
Date Format,yyyy-MM-dd HH:mm:ss,
Temperature Unit,°C,
Number,Time,Temperature°C
12464,2019-09-16 08:18:55,24.7
12465,2019-09-16 08:33:55,24.6
12466,2019-09-16 08:48:55,25.1
12467,2019-09-16 09:03:55,26.1
12468,2019-09-16 09:18:55,26.5
12469,2019-09-16 09:33:55,26.3
12470,2019-09-16 09:48:55,27.5
12471,2019-09-16 10:03:55,30
12472,2019-09-16 10:18:55,29.2
12473,2019-09-16 10:33:55,29.4
12474,2019-09-16 10:48:55,30.3
12475,2019-09-16 11:03:55,31.7
12476,2019-09-16 11:18:55,31.7
12477,2019-09-16 11:33:55,31
12478,2019-09-16 11:48:55,31.4
12479,2019-09-16 12:03:55,26.4
12480,2019-09-16 12:18:55,22.3
12481,2019-09-16 12:33:55,22.2
12482,2019-09-16 12:48:55,23.7
12483,2019-09-16 13:03:55,23
12484,2019-09-16 13:18:55,22.5
12485,2019-09-16 13:33:55,23.1
12486,2019-09-16 13:48:55,24
12487,2019-09-16 14:03:55,24.4
12488,2019-09-16 14:18:55,24.1
12489,2019-09-16 14:33:55,24.4
12490,2019-09-16 14:48:55,24.1
12491,2019-09-16 15:03:55,24
12492,2019-09-16 15:18:55,24.1
12493,2019-09-16 15:33:55,24.2
12494,2019-09-16 15:48:55,23.5
12495,2019-09-16 16:03:55,24.2
12496,2019-09-16 16:18:55,24
12497,2019-09-16 16:33:55,24.6
12498,2019-09-16 16:48:55,24.1
12499,2019-09-16 17:03:55,23.9
12500,2019-09-16 17:18:55,23.5
12501,2019-09-16 17:33:55,22.9
12502,2019-09-16 17:48:55,22.2
12503,2019-09-16 18:03:55,21.3
12504,2019-09-16 18:18:55,20.4
12505,2019-09-16 18:33:55,19.3
12506,2019-09-16 18:48:55,18.2
12507,2019-09-16 19:03:55,17.5
12508,2019-09-16 19:18:55,17.1
12509,2019-09-16 19:33:55,16.7
12510,2019-09-16 19:48:55,16.3
12511,2019-09-16 20:03:55,16.1
12512,2019-09-16 20:18:55,15.8
12513,2019-09-16 20:33:55,15.5
12514,2019-09-16 20:48:55,15.2
12515,2019-09-16 21:03:55,14.9
12516,2019-09-16 21:18:55,14.6
12517,2019-09-16 21:33:55,14.2
12518,2019-09-16 21:48:55,14
12519,2019-09-16 22:03:55,13.6
12520,2019-09-16 22:18:55,13.3
12521,2019-09-16 22:33:55,13
12522,2019-09-16 22:48:55,12.9
12523,2019-09-16 23:03:55,12.9
12524,2019-09-16 23:18:55,12.7
12525,2019-09-16 23:33:55,12.4
12526,2019-09-16 23:48:55,12.2
12527,2019-09-17 00:03:55,12
12528,2019-09-17 00:18:55,11.9
12529,2019-09-17 00:33:55,11.5
12530,2019-09-17 00:48:55,11.2
12531,2019-09-17 01:03:55,11
12532,2019-09-17 01:18:55,10.8
12533,2019-09-17 01:33:55,10.6
12534,2019-09-17 01:48:55,10.5
12535,2019-09-17 02:03:55,10.3
12536,2019-09-17 02:18:55,10.1
12537,2019-09-17 02:33:55,9.8
12538,2019-09-17 02:48:55,9.6
12539,2019-09-17 03:03:55,9.5
12540,2019-09-17 03:18:55,9.5
12541,2019-09-17 03:33:55,9.5
12542,2019-09-17 03:48:55,9.3
12543,2019-09-17 04:03:55,8.9
12544,2019-09-17 04:18:55,8.5
12545,2019-09-17 04:33:55,8.7
12546,2019-09-17 04:48:55,8.7
12547,2019-09-17 05:03:55,8.7
12548,2019-09-17 05:18:55,8.7
12549,2019-09-17 05:33:55,8.5
12550,2019-09-17 05:48:55,8.6
12551,2019-09-17 06:03:55,8.8
12552,2019-09-17 06:18:55,8.6
12553,2019-09-17 06:33:55,8.7
12554,2019-09-17 06:48:55,8.7
12555,2019-09-17 07:03:55,8.7
12556,2019-09-17 07:18:55,9.5
12557,2019-09-17 07:33:55,10.6
12558,2019-09-17 07:48:55,11.8
12559,2019-09-17 08:03:55,12.7
12560,2019-09-17 08:18:55,13.7
12561,2019-09-17 08:33:55,14.3
12562,2019-09-17 08:48:55,14.5
12563,2019-09-17 09:03:55,15.5
12564,2019-09-17 09:18:55,16.3
12565,2019-09-17 09:33:55,17.2
12566,2019-09-17 09:48:55,18.2
12567,2019-09-17 10:03:55,19.1
12568,2019-09-17 10:18:55,19.9
12569,2019-09-17 10:33:55,20.6
12570,2019-09-17 10:48:55,20.9
12571,2019-09-17 11:03:55,21.5
12572,2019-09-17 11:18:55,22.2
12573,2019-09-17 11:33:55,22.7
12574,2019-09-17 11:48:55,23
12575,2019-09-17 12:03:55,23.5
12576,2019-09-17 12:18:55,24
12577,2019-09-17 12:33:55,24.5
12578,2019-09-17 12:48:55,24.7
12579,2019-09-17 13:03:55,25.4
12580,2019-09-17 13:18:55,25.4
12581,2019-09-17 13:33:55,25.3
12582,2019-09-17 13:48:55,25.4
12583,2019-09-17 14:03:55,25.5
12584,2019-09-17 14:18:55,25.8
12585,2019-09-17 14:33:55,26.3
12586,2019-09-17 14:48:55,25.7
12587,2019-09-17 15:03:55,25.5
12588,2019-09-17 15:18:55,25.9
12589,2019-09-17 15:33:55,26
12590,2019-09-17 15:48:55,25.6
12591,2019-09-17 16:03:55,26
12592,2019-09-17 16:18:55,25.6
12593,2019-09-17 16:33:55,25.6
12594,2019-09-17 16:48:55,24.9
12595,2019-09-17 17:03:55,25
12596,2019-09-17 17:18:55,24.3
12597,2019-09-17 17:33:55,24.3
12598,2019-09-17 17:48:55,23.8
12599,2019-09-17 18:03:55,23.4
12600,2019-09-17 18:18:55,22.8
12601,2019-09-17 18:33:55,21.6
12602,2019-09-17 18:48:55,20.9
12603,2019-09-17 19:03:55,20.3
12604,2019-09-17 19:18:55,19.9
12605,2019-09-17 19:33:55,19.5
12606,2019-09-17 19:48:55,19.2
12607,2019-09-17 20:03:55,18.8
12608,2019-09-17 20:18:55,18.6
12609,2019-09-17 20:33:55,18.2
12610,2019-09-17 20:48:55,18
12611,2019-09-17 21:03:55,17.8
12612,2019-09-17 21:18:55,17.5
12613,2019-09-17 21:33:55,17.2
12614,2019-09-17 21:48:55,16.9
12615,2019-09-17 22:03:55,16.6
12616,2019-09-17 22:18:55,16.4
12617,2019-09-17 22:33:55,16.2
12618,2019-09-17 22:48:55,16
12619,2019-09-17 23:03:55,15.6
12620,2019-09-17 23:18:55,15.4
12621,2019-09-17 23:33:55,15.2
12622,2019-09-17 23:48:55,14.9
12623,2019-09-18 00:03:55,14.7
12624,2019-09-18 00:18:55,14.4
12625,2019-09-18 00:33:55,14
12626,2019-09-18 00:48:55,13.7
12627,2019-09-18 01:03:55,13.4
12628,2019-09-18 01:18:55,13.2
12629,2019-09-18 01:33:55,13.4
12630,2019-09-18 01:48:55,13.6
12631,2019-09-18 02:03:55,13.8
12632,2019-09-18 02:18:55,13.9
12633,2019-09-18 02:33:55,13.9
12634,2019-09-18 02:48:55,13.8
12635,2019-09-18 03:03:55,13.6
12636,2019-09-18 03:18:55,13.6
12637,2019-09-18 03:33:55,13.5
12638,2019-09-18 03:48:55,13.3
12639,2019-09-18 04:03:55,13
12640,2019-09-18 04:18:55,12.5
12641,2019-09-18 04:33:55,12
12642,2019-09-18 04:48:55,11.8
12643,2019-09-18 05:03:55,11.5
12644,2019-09-18 05:18:55,11.3
12645,2019-09-18 05:33:55,11.4
12646,2019-09-18 05:48:55,11.2
12647,2019-09-18 06:03:55,11.1
12648,2019-09-18 06:18:55,11
12649,2019-09-18 06:33:55,10.7
12650,2019-09-18 06:48:55,10.5
12651,2019-09-18 07:03:55,10.5
12652,2019-09-18 07:18:55,11.4
12653,2019-09-18 07:33:55,12.9
12654,2019-09-18 07:48:55,14.3
12655,2019-09-18 08:03:55,15.2
12656,2019-09-18 08:18:55,15.8
12657,2019-09-18 08:33:55,16.3
12658,2019-09-18 08:48:55,16.2
12659,2019-09-18 09:03:55,17
12660,2019-09-18 09:18:55,18
12661,2019-09-18 09:33:55,19.2
12662,2019-09-18 09:48:55,20.7
12663,2019-09-18 10:03:55,21.4
12664,2019-09-18 10:18:55,22.3
12665,2019-09-18 10:33:55,22.8
12666,2019-09-18 10:48:55,23.9
12667,2019-09-18 11:03:55,24
12668,2019-09-18 11:18:55,24.1
12669,2019-09-18 11:33:55,22.7
12670,2019-09-18 11:48:55,21.7
12671,2019-09-18 12:03:55,27
12672,2019-09-18 12:18:55,31.9
12673,2019-09-18 12:33:55,31.3
12674,2019-09-18 12:48:55,31.4
12675,2019-09-18 13:03:55,32
12676,2019-09-18 13:18:55,32.6
12677,2019-09-18 13:33:55,33
12678,2019-09-18 13:48:55,32.1
12679,2019-09-18 14:03:55,32.5
12680,2019-09-18 14:18:55,32.7
12681,2019-09-18 14:33:55,33.3
12682,2019-09-18 14:48:55,33
12683,2019-09-18 15:03:55,33
12684,2019-09-18 15:18:55,33.2
12685,2019-09-18 15:33:55,34.1
12686,2019-09-18 15:48:55,34
12687,2019-09-18 16:03:55,34.3
12688,2019-09-18 16:18:55,33.5
12689,2019-09-18 16:33:55,33.9
12690,2019-09-18 16:48:55,33.4
12691,2019-09-18 17:03:55,33
12692,2019-09-18 17:18:55,33.3
12693,2019-09-18 17:33:55,32.9
12694,2019-09-18 17:48:55,32.4
12695,2019-09-18 18:03:55,31.9
12696,2019-09-18 18:18:55,31.4
12697,2019-09-18 18:33:55,31
12698,2019-09-18 18:48:55,30.4
12699,2019-09-18 19:03:55,30.1
12700,2019-09-18 19:18:55,30.2
12701,2019-09-18 19:33:55,30
12702,2019-09-18 19:48:55,30.1
12703,2019-09-18 20:03:55,30
12704,2019-09-18 20:18:55,29.9
12705,2019-09-18 20:33:55,29.9
12706,2019-09-18 20:48:55,29.8
12707,2019-09-18 21:03:55,29.8
12708,2019-09-18 21:18:55,29.6
12709,2019-09-18 21:33:55,29.2
12710,2019-09-18 21:48:55,28.5
12711,2019-09-18 22:03:55,28.4
12712,2019-09-18 22:18:55,28.2
12713,2019-09-18 22:33:55,28
12714,2019-09-18 22:48:55,27.7
12715,2019-09-18 23:03:55,27.6
12716,2019-09-18 23:18:55,27.4
12717,2019-09-18 23:33:55,27.1
12718,2019-09-18 23:48:55,27.2
12719,2019-09-19 00:03:55,27
12720,2019-09-19 00:18:55,26.9
12721,2019-09-19 00:33:55,26.7
12722,2019-09-19 00:48:55,26.6
12723,2019-09-19 01:03:55,26.6
12724,2019-09-19 01:18:55,26.5
12725,2019-09-19 01:33:55,26.7
12726,2019-09-19 01:48:55,26.6
12727,2019-09-19 02:03:55,26.6
12728,2019-09-19 02:18:55,26.4
12729,2019-09-19 02:33:55,26.4
12730,2019-09-19 02:48:55,26
12731,2019-09-19 03:03:55,26.1
12732,2019-09-19 03:18:55,25.9
12733,2019-09-19 03:33:55,25.9
12734,2019-09-19 03:48:55,26.1
12735,2019-09-19 04:03:55,26.1
12736,2019-09-19 04:18:55,26
12737,2019-09-19 04:33:55,25.6
12738,2019-09-19 04:48:55,25.7
12739,2019-09-19 05:03:55,25.2
12740,2019-09-19 05:18:55,25.1
12741,2019-09-19 05:33:55,24.7
12742,2019-09-19 05:48:55,24.5
12743,2019-09-19 06:03:55,24.1
12744,2019-09-19 06:18:55,24.1
12745,2019-09-19 06:33:55,24.9
12746,2019-09-19 06:48:55,25.6
12747,2019-09-19 07:03:55,25.6
12748,2019-09-19 07:18:55,26.2
12749,2019-09-19 07:33:55,26.6
12750,2019-09-19 07:48:55,27.3
12751,2019-09-19 08:03:55,27.9
12752,2019-09-19 08:18:55,27.9
12753,2019-09-19 08:33:55,27.9
12754,2019-09-19 08:48:55,28.5
12755,2019-09-19 09:03:55,28.8
12756,2019-09-19 09:18:55,28.7
12757,2019-09-19 09:33:55,29.3
12758,2019-09-19 09:48:55,29.3
12759,2019-09-19 10:03:55,30.5
12760,2019-09-19 10:18:55,31.7
12761,2019-09-19 10:33:55,31.2
12762,2019-09-19 10:48:55,30.8
12763,2019-09-19 11:03:55,30.8
12764,2019-09-19 11:18:55,32.5
12765,2019-09-19 11:33:55,32.7
12766,2019-09-19 11:48:55,32.5
12767,2019-09-19 12:03:55,29.3
12768,2019-09-19 12:18:55,22.7
12769,2019-09-19 12:33:55,21.9
12770,2019-09-19 12:48:55,21.7
12771,2019-09-19 13:03:55,20.3
12772,2019-09-19 13:18:55,20.2
12773,2019-09-19 13:33:55,21.4
12774,2019-09-19 13:48:55,21.3
12775,2019-09-19 14:03:55,20.8
12776,2019-09-19 14:18:55,20.8
12777,2019-09-19 14:33:55,21.1
12778,2019-09-19 14:48:55,20.3
12779,2019-09-19 15:03:55,21
12780,2019-09-19 15:18:55,19.5
12781,2019-09-19 15:33:55,18.8
12782,2019-09-19 15:48:55,18.4
12783,2019-09-19 16:03:55,19
12784,2019-09-19 16:18:55,19.2
12785,2019-09-19 16:33:55,18.6
12786,2019-09-19 16:48:55,18.8
12787,2019-09-19 17:03:55,18.8
12788,2019-09-19 17:18:55,18.5
12789,2019-09-19 17:33:55,16.8
12790,2019-09-19 17:48:55,16.4
12791,2019-09-19 18:03:55,15.8
12792,2019-09-19 18:18:55,15.6
12793,2019-09-19 18:33:55,15.4
12794,2019-09-19 18:48:55,14.9
12795,2019-09-19 19:03:55,14.5
12796,2019-09-19 19:18:55,14.1
12797,2019-09-19 19:33:55,13.8
12798,2019-09-19 19:48:55,13.6
12799,2019-09-19 20:03:55,13.4
12800,2019-09-19 20:18:55,13.2
12801,2019-09-19 20:33:55,13
12802,2019-09-19 20:48:55,12.8
12803,2019-09-19 21:03:55,12.5
12804,2019-09-19 21:18:55,12.3
12805,2019-09-19 21:33:55,11.9
12806,2019-09-19 21:48:55,11.5
12807,2019-09-19 22:03:55,11.2
12808,2019-09-19 22:18:55,11.1
12809,2019-09-19 22:33:55,10.9
12810,2019-09-19 22:48:55,10.5
12811,2019-09-19 23:03:55,10.2
12812,2019-09-19 23:18:55,9.9
12813,2019-09-19 23:33:55,9.7
12814,2019-09-19 23:48:55,9.5
12815,2019-09-20 00:03:55,9.5
12816,2019-09-20 00:18:55,9.5
12817,2019-09-20 00:33:55,9.5
12818,2019-09-20 00:48:55,9.5
12819,2019-09-20 01:03:55,9.4
12820,2019-09-20 01:18:55,9
12821,2019-09-20 01:33:55,8.7
12822,2019-09-20 01:48:55,8.8
12823,2019-09-20 02:03:55,8.8
12824,2019-09-20 02:18:55,8.6
12825,2019-09-20 02:33:55,8.1
12826,2019-09-20 02:48:55,7.8
12827,2019-09-20 03:03:55,7.7
12828,2019-09-20 03:18:55,7.8
12829,2019-09-20 03:33:55,7.7
12830,2019-09-20 03:48:55,7.5
12831,2019-09-20 04:03:55,7.4
12832,2019-09-20 04:18:55,7.4
12833,2019-09-20 04:33:55,7.3
12834,2019-09-20 04:48:55,7.2
12835,2019-09-20 05:03:55,7.1
12836,2019-09-20 05:18:55,7.2
12837,2019-09-20 05:33:55,7
12838,2019-09-20 05:48:55,6.7
12839,2019-09-20 06:03:55,6.8
12840,2019-09-20 06:18:55,6.6
12841,2019-09-20 06:33:55,6.6
12842,2019-09-20 06:48:55,6.7
12843,2019-09-20 07:03:55,6.8
12844,2019-09-20 07:18:55,7.7
12845,2019-09-20 07:33:55,8.9
12846,2019-09-20 07:48:55,10.2
12847,2019-09-20 08:03:55,11
12848,2019-09-20 08:18:55,12.1
12849,2019-09-20 08:33:55,13
12850,2019-09-20 08:48:55,13.9
12851,2019-09-20 09:03:55,14.6
12852,2019-09-20 09:18:55,15.2
12853,2019-09-20 09:33:55,16
12854,2019-09-20 09:48:55,16.7
12855,2019-09-20 10:03:55,17.2
12856,2019-09-20 10:18:55,17.6
12857,2019-09-20 10:33:55,18.4
12858,2019-09-20 10:48:55,19.3
12859,2019-09-20 11:03:55,19.7
12860,2019-09-20 11:18:55,20.3
12861,2019-09-20 11:33:55,20.8
12862,2019-09-20 11:48:55,20.9
12863,2019-09-20 12:03:55,21.5
12864,2019-09-20 12:18:55,21.7
12865,2019-09-20 12:33:55,22.2
12866,2019-09-20 12:48:55,22.1
12867,2019-09-20 13:03:55,22.2
12868,2019-09-20 13:18:55,22.3
12869,2019-09-20 13:33:55,22.4
12870,2019-09-20 13:48:55,22.7
12871,2019-09-20 14:03:55,22.8
12872,2019-09-20 14:18:55,22.9
12873,2019-09-20 14:33:55,23
12874,2019-09-20 14:48:55,23
12875,2019-09-20 15:03:55,23.3
12876,2019-09-20 15:18:55,23.5
12877,2019-09-20 15:33:55,23.1
12878,2019-09-20 15:48:55,23.5
12879,2019-09-20 16:03:55,23.2
12880,2019-09-20 16:18:55,22.8
12881,2019-09-20 16:33:55,22.9
12882,2019-09-20 16:48:55,22.9
12883,2019-09-20 17:03:55,22.6
12884,2019-09-20 17:18:55,22.2
12885,2019-09-20 17:33:55,21.6
12886,2019-09-20 17:48:55,21.4
12887,2019-09-20 18:03:55,20.8
12888,2019-09-20 18:18:55,20.1
12889,2019-09-20 18:33:55,19.4
12890,2019-09-20 18:48:55,18.6
12891,2019-09-20 19:03:55,18.1
12892,2019-09-20 19:18:55,17.6
12893,2019-09-20 19:33:55,17.2
12894,2019-09-20 19:48:55,16.7
12895,2019-09-20 20:03:55,16.3
12896,2019-09-20 20:18:55,16
12897,2019-09-20 20:33:55,15.6
12898,2019-09-20 20:48:55,15.2
12899,2019-09-20 21:03:55,14.9
12900,2019-09-20 21:18:55,14.6
12901,2019-09-20 21:33:55,14.5
12902,2019-09-20 21:48:55,14.2
12903,2019-09-20 22:03:55,14
12904,2019-09-20 22:18:55,13.7
12905,2019-09-20 22:33:55,13.5
12906,2019-09-20 22:48:55,13.4
12907,2019-09-20 23:03:55,13.2
12908,2019-09-20 23:18:55,13
12909,2019-09-20 23:33:55,12.8
12910,2019-09-20 23:48:55,12.7
12911,2019-09-21 00:03:55,12.3
12912,2019-09-21 00:18:55,12.1
12913,2019-09-21 00:33:55,12
12914,2019-09-21 00:48:55,11.9
12915,2019-09-21 01:03:55,11.6
12916,2019-09-21 01:18:55,11.4
12917,2019-09-21 01:33:55,11.2
12918,2019-09-21 01:48:55,10.9
12919,2019-09-21 02:03:55,10.8
12920,2019-09-21 02:18:55,10.9
12921,2019-09-21 02:33:55,10.9
12922,2019-09-21 02:48:55,10.8
12923,2019-09-21 03:03:55,10.7
12924,2019-09-21 03:18:55,10.7
12925,2019-09-21 03:33:55,10.6
12926,2019-09-21 03:48:55,10.4
12927,2019-09-21 04:03:55,10.4
12928,2019-09-21 04:18:55,10.4
12929,2019-09-21 04:33:55,10.6
12930,2019-09-21 04:48:55,10.6
12931,2019-09-21 05:03:55,10.4
12932,2019-09-21 05:18:55,10.4
12933,2019-09-21 05:33:55,10.3
12934,2019-09-21 05:48:55,10.1
12935,2019-09-21 06:03:55,10
12936,2019-09-21 06:18:55,9.9
12937,2019-09-21 06:33:55,9.8
12938,2019-09-21 06:48:55,9.8
12939,2019-09-21 07:03:55,10.2
12940,2019-09-21 07:18:55,10.8
12941,2019-09-21 07:33:55,11.7
12942,2019-09-21 07:48:55,12.8
12943,2019-09-21 08:03:55,13.6
12944,2019-09-21 08:18:55,14.4
12945,2019-09-21 08:33:55,15
12946,2019-09-21 08:48:55,15.7
12947,2019-09-21 09:03:55,16.1
12948,2019-09-21 09:18:55,16.8
12949,2019-09-21 09:33:55,17.5
12950,2019-09-21 09:48:55,18.2
12951,2019-09-21 10:03:55,19.3
12952,2019-09-21 10:18:55,19.9
12953,2019-09-21 10:33:55,20.3
12954,2019-09-21 10:48:55,21.2
12955,2019-09-21 11:03:55,21.4
12956,2019-09-21 11:18:55,21.5
12957,2019-09-21 11:33:55,21.9
12958,2019-09-21 11:48:55,22.2
12959,2019-09-21 12:03:55,22.5
12960,2019-09-21 12:18:55,23.1
12961,2019-09-21 12:33:55,23.3
12962,2019-09-21 12:48:55,27
12963,2019-09-21 13:03:55,31.5
12964,2019-09-21 13:18:55,32.7
12965,2019-09-21 13:33:55,33.3
12966,2019-09-21 13:48:55,32.7
12967,2019-09-21 14:03:55,32.6
12968,2019-09-21 14:18:55,32.9
12969,2019-09-21 14:33:55,33
12970,2019-09-21 14:48:55,33.1
12971,2019-09-21 15:03:55,33.7
12972,2019-09-21 15:18:55,34.4
12973,2019-09-21 15:33:55,34.4
12974,2019-09-21 15:48:55,34.3
12975,2019-09-21 16:03:55,35
12976,2019-09-21 16:18:55,34.7
12977,2019-09-21 16:33:55,34.7
12978,2019-09-21 16:48:55,34.5
12979,2019-09-21 17:03:55,34.7
12980,2019-09-21 17:18:55,34.6
12981,2019-09-21 17:33:55,33.8
12982,2019-09-21 17:48:55,33.3
12983,2019-09-21 18:03:55,32.6
12984,2019-09-21 18:18:55,32.3
12985,2019-09-21 18:33:55,31.4
12986,2019-09-21 18:48:55,30.5
12987,2019-09-21 19:03:55,30.1
12988,2019-09-21 19:18:55,29.5
12989,2019-09-21 19:33:55,29.4
12990,2019-09-21 19:48:55,28.8
12991,2019-09-21 20:03:55,28.5
12992,2019-09-21 20:18:55,28.2
12993,2019-09-21 20:33:55,27.9
12994,2019-09-21 20:48:55,27.7
12995,2019-09-21 21:03:55,27.5
12996,2019-09-21 21:18:55,27.3
12997,2019-09-21 21:33:55,27
12998,2019-09-21 21:48:55,26.8
12999,2019-09-21 22:03:55,26.6
13000,2019-09-21 22:18:55,26.2
13001,2019-09-21 22:33:55,25.8
13002,2019-09-21 22:48:55,25.6
13003,2019-09-21 23:03:55,25.5
13004,2019-09-21 23:18:55,25.2
13005,2019-09-21 23:33:55,24.8
13006,2019-09-21 23:48:55,24.4
13007,2019-09-22 00:03:55,24.1
13008,2019-09-22 00:18:55,23.9
13009,2019-09-22 00:33:55,23.5
13010,2019-09-22 00:48:55,22.9
13011,2019-09-22 01:03:55,22.4
13012,2019-09-22 01:18:55,22.3
13013,2019-09-22 01:33:55,22.4
13014,2019-09-22 01:48:55,22.2
13015,2019-09-22 02:03:55,22
13016,2019-09-22 02:18:55,21.8
13017,2019-09-22 02:33:55,21.5
13018,2019-09-22 02:48:55,21.6
13019,2019-09-22 03:03:55,21.5
13020,2019-09-22 03:18:55,21.3
13021,2019-09-22 03:33:55,21
13022,2019-09-22 03:48:55,21
13023,2019-09-22 04:03:55,20.8
13024,2019-09-22 04:18:55,20.7
13025,2019-09-22 04:33:55,20.5
13026,2019-09-22 04:48:55,20.5
13027,2019-09-22 05:03:55,20.4
13028,2019-09-22 05:18:55,20.4
13029,2019-09-22 05:33:55,20.2
13030,2019-09-22 05:48:55,20.1
13031,2019-09-22 06:03:55,20
13032,2019-09-22 06:18:55,19.9
13033,2019-09-22 06:33:55,20
13034,2019-09-22 06:48:55,20
13035,2019-09-22 07:03:55,20.4
13036,2019-09-22 07:18:55,21
13037,2019-09-22 07:33:55,22.4
13038,2019-09-22 07:48:55,23.3
13039,2019-09-22 08:03:55,24.3
13040,2019-09-22 08:18:55,25.1
13041,2019-09-22 08:33:55,25.7
13042,2019-09-22 08:48:55,26.4
13043,2019-09-22 09:03:55,27
13044,2019-09-22 09:18:55,27.1
13045,2019-09-22 09:33:55,27.6
13046,2019-09-22 09:48:55,28.2
13047,2019-09-22 10:03:55,29
13048,2019-09-22 10:18:55,29.5
13049,2019-09-22 10:33:55,30.1
13050,2019-09-22 10:48:55,30.2
13051,2019-09-22 11:03:55,30.7
13052,2019-09-22 11:18:55,30.7
13053,2019-09-22 11:33:55,30.7
13054,2019-09-22 11:48:55,30.9
13055,2019-09-22 12:03:55,31.7
13056,2019-09-22 12:18:55,32
13057,2019-09-22 12:33:55,30.7
13058,2019-09-22 12:48:55,25.5
13059,2019-09-22 13:03:55,22.8
13060,2019-09-22 13:18:55,22.5
13061,2019-09-22 13:33:55,22
13062,2019-09-22 13:48:55,21.9
13063,2019-09-22 14:03:55,21.3
13064,2019-09-22 14:18:55,21.5
13065,2019-09-22 14:33:55,21.3
13066,2019-09-22 14:48:55,21.1
13067,2019-09-22 15:03:55,20.9
13068,2019-09-22 15:18:55,20.8
13069,2019-09-22 15:33:55,20.4
13070,2019-09-22 15:48:55,20.8
13071,2019-09-22 16:03:55,20.4
13072,2019-09-22 16:18:55,20.1
13073,2019-09-22 16:33:55,19.8
13074,2019-09-22 16:48:55,19.8
13075,2019-09-22 17:03:55,19.6
13076,2019-09-22 17:18:55,19.6
13077,2019-09-22 17:33:55,19.5
13078,2019-09-22 17:48:55,19.2
13079,2019-09-22 18:03:55,18.6
13080,2019-09-22 18:18:55,18
13081,2019-09-22 18:33:55,17
13082,2019-09-22 18:48:55,15.8
13083,2019-09-22 19:03:55,14.9
13084,2019-09-22 19:18:55,14.7
13085,2019-09-22 19:33:55,14.4
13086,2019-09-22 19:48:55,14.2
13087,2019-09-22 20:03:55,14
13088,2019-09-22 20:18:55,14
13089,2019-09-22 20:33:55,14
13090,2019-09-22 20:48:55,14
13091,2019-09-22 21:03:55,13.9
13092,2019-09-22 21:18:55,14
13093,2019-09-22 21:33:55,13.9
13094,2019-09-22 21:48:55,14
13095,2019-09-22 22:03:55,14
13096,2019-09-22 22:18:55,14
13097,2019-09-22 22:33:55,14
13098,2019-09-22 22:48:55,14.1
13099,2019-09-22 23:03:55,14
13100,2019-09-22 23:18:55,13.8
13101,2019-09-22 23:33:55,13.6
13102,2019-09-22 23:48:55,13.4
13103,2019-09-23 00:03:55,13.3
13104,2019-09-23 00:18:55,13.2
13105,2019-09-23 00:33:55,13
13106,2019-09-23 00:48:55,12.8
13107,2019-09-23 01:03:55,12.7
13108,2019-09-23 01:18:55,12.7
13109,2019-09-23 01:33:55,12.6
13110,2019-09-23 01:48:55,12.5
13111,2019-09-23 02:03:55,12.3
13112,2019-09-23 02:18:55,12.2
13113,2019-09-23 02:33:55,12
13114,2019-09-23 02:48:55,12
13115,2019-09-23 03:03:55,11.8
13116,2019-09-23 03:18:55,11.6
13117,2019-09-23 03:33:55,11.6
13118,2019-09-23 03:48:55,11.5
13119,2019-09-23 04:03:55,11.5
13120,2019-09-23 04:18:55,11.2
13121,2019-09-23 04:33:55,11.1
13122,2019-09-23 04:48:55,10.9
13123,2019-09-23 05:03:55,10.8
13124,2019-09-23 05:18:55,10.6
13125,2019-09-23 05:33:55,10.5
13126,2019-09-23 05:48:55,10.4
13127,2019-09-23 06:03:55,10.3
13128,2019-09-23 06:18:55,10.3
13129,2019-09-23 06:33:55,10.4
13130,2019-09-23 06:48:55,10.4
13131,2019-09-23 07:03:55,10.7
13132,2019-09-23 07:18:55,11.3
13133,2019-09-23 07:33:55,12
13134,2019-09-23 07:48:55,12.3
13135,2019-09-23 08:03:55,12.9
13136,2019-09-23 08:18:55,13.4
13137,2019-09-23 08:33:55,13.8
13138,2019-09-23 08:48:55,14
13139,2019-09-23 09:03:55,14.6
13140,2019-09-23 09:18:55,14.4
13141,2019-09-23 09:33:55,14.7
13142,2019-09-23 09:48:55,15.5
13143,2019-09-23 10:03:55,16
13144,2019-09-23 10:18:55,16.6
13145,2019-09-23 10:33:55,16.5
13146,2019-09-23 10:48:55,16.5
13147,2019-09-23 11:03:55,17.1
13148,2019-09-23 11:18:55,17.2
13149,2019-09-23 11:33:55,17.5
13150,2019-09-23 11:48:55,18
13151,2019-09-23 12:03:55,19.1
13152,2019-09-23 12:18:55,20.8
13153,2019-09-23 12:33:55,20.3
13154,2019-09-23 12:48:55,19.8
13155,2019-09-23 13:03:55,21.5
13156,2019-09-23 13:18:55,21.2
13157,2019-09-23 13:33:55,20.9
13158,2019-09-23 13:48:55,20.8
